seaTurtleId,seaTurtleName,sidNumber,strandingIdNumber,species,dateAcquired,acquiredFrom,turtleSize,status,dateRelinquished,relinquishedTo,anomalies,injuryBoatStrike,injuryIntestinalImpaction,injuryLineEntanglement,injuryFishHook,injuryUpperRespiratory,injuryAnimalBite,injuryFibropapilloma,injuryMiscEpidemic,injuryDoa,injuryOther,wasCarryingTagsWhenEnc,recaptureType,tagReturnAddress,captureProjectType,acquiredCounty,acquiredLatitude,acquiredLongitude,relinquishedCounty,relinquishedLatitude,relinquishedLongitude,organizationId
a0cc2f62-2390-4d99-8148-3d81adf8da20,Cc0750 Spitfire,7212,MLB071001-01,CC,2007-10-01,"volusia cty, 4537 s a1a",Subadult,UR,2007-12-03,transfer Jekyll Island,"edema, moderate barnacles, hypoglycemic, left float and impaction",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
ab69f34f-ee5c-4f2a-a935-bbda341f3d33,Cm0751 Ginny,7213,MLB071021-01,CM,2007-10-21,palm coast,Juvenile,UR,,,boat strike to left rear carapace and throught the tail/cloaca,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Flagler,29.74361,-81.27694,,,,b225dd24-1d37-4252-b989-e342a690968b
327a3136-edaa-484f-a10c-ae3d43156a4c,Cm0752,7221,MLB071028-00,CM,2007-10-28,volusia cty beach patrol,Juvenile,UR,2007-11-30,released,"moderate barnacle coverage, green hair algae, lacerations above right eye and on rff",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
595aab93-f261-4e53-b8b8-12c3b7a1d5e4,Cc0753 Hellfire,7224,MLB071029-12,CC,2007-10-29,Flagler cty,Adult,UR,2007-11-28,released,"carapace fracture, shell impacted",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
4a08a5c3-8f63-46cb-ac42-9045ff969810,Cc0754 Stewey,7225,MLB071031-01,CC,2007-10-31,volusia cty,Subadult,UR,2007-12-04,tx swf,"shell impacted, severe floatation difficulties",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
70a6c833-a0cf-4958-bc1a-57e7aecfb49e,Cc0755,7226,CJC071104-01,CC,2007-11-04,brevard cty,Subadult,UR,2008-01-21,died,"hyperglycemic, 6 bpm HR, pneumonia, minimal response",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
dd15c4f0-7225-444d-8334-6bfb997b1bb4,Cc0756 LaLa,7239,CJC071114-01,CC,2007-11-14,brevard county canaveral,Subadult,UR,2008-01-11,released,"shell impacted, anemic",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
18b3a5ff-528c-4f3b-9aa4-195651076d8c,Cm0757,7240,MLB071119-01,CM,2007-11-19,volusia cty daytona,Juvenile,UR,2007-11-21,died,"left rear strike, spinal and fractured lrf",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
7c7fa2e4-4b79-4fb3-afb7-63bb03efbbb7,Cc0758 Barb C,7241,RDP071120-01,CC,2007-11-20,brevard cty,Subadult,UR,2007-12-21,released,"moderate body weight, shell impacted",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
73089770-91a2-4a06-b00e-94c89aa19f77,Cm0759,7251,MXR071124-01,CM,2007-11-25,Indian River County,Juvenile,UR,2007-11-26,died,paps covering both corneas and large growths on soft tissus,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
497a0536-7a53-4e6a-b384-6719bdb764fc,Cc0760 Old Boots,7252,CJC071129-01,CC,2007-11-29,playalinda beach,Subadult,UR,2008-04-19,released,"minor shell impaction, possible red tide",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,Brevard,,,Volusia,,,b225dd24-1d37-4252-b989-e342a690968b
6602a284-17f4-4a28-99ba-6d1eebe72800,Cm0761,7255,MLB071201-01,CM,2007-12-01,brevard cty,Juvenile,UR,2007-12-04,tx swf,red tide,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
148edf53-1525-4e20-b029-c5ec086aafb9,Cm0762,7256,MLB071201-02,CM,2007-12-01,brevard cty,Juvenile,UR,2007-12-04,tx swf,red tide,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
d5c03a5a-83f9-45c3-9abf-b0280baad0f8,Cc0763 Patti,7257,MLB071201-03,CC,2007-12-01,volusia cty ormond by the sea,Adult,UR,2007-12-13,tx to clearwater,"hypoglycemic, low hr, moderate small barnacle coverage",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
ee946b11-fde7-46a6-af6f-f3b352b9f17d,Cm0764,7258,DBH071201-03,CM,2007-12-01,brevard cty,Juvenile,UR,2007-12-04,tx swf,red tide,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
45a3e476-4dab-45fe-b5e3-03a82d6fd262,Cm0765,7259,DBH071201-05,CM,2007-12-01,brevard cty,Juvenile,UR,2007-12-04,tx swf,red tide,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
0c9d7100-3650-4345-81ff-b82ede34a090,Cm0766,7260,AAR071201-01,CM,2007-12-01,brevard cty,Juvenile,UR,2007-12-24,tx disney,red tide,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
a8517947-51a4-4208-bc39-2ca987c97a53,Cm0767,7261,AAR071202-01,CM,2007-12-02,brevard cty,Juvenile,UR,2007-12-04,tx swf,red tide,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
