seaTurtleTagId,seaTurtleId,tagNumber,tagType,Location,dateTagged
9df06d44-c9f2-494d-bd8d-079f02fd92fd,a6921557-55d5-447c-8fc4-8c7c572faec0,RRZ480",Inconel,LFF,"2007-05-13"
e423559f-82bd-4fa6-859d-36330cfd3363,a6921557-55d5-447c-8fc4-8c7c572faec0,RRZ481",Inconel,RFF,"2007-05-13"
28ee5d1d-9d72-45da-a7dd-c6aa3329bda4,a6921557-55d5-447c-8fc4-8c7c572faec0,"094770868",PIT,RFF,"2007-05-13"
22a780b1-6ba9-4602-8136-802fe510ea48,1174de64-874e-488d-b6b8-7e9ba795818b,"094619536",PIT,RFF,"2007-06-20"
e60dcd55-0742-4211-bb46-1278dddec9b9,244e46b5-05cc-4ae6-a81c-e49e312af07e,"094790572",PIT,RFF,"2007-06-07"
fe63f86d-50dd-4500-899e-8d725c659484,244e46b5-05cc-4ae6-a81c-e49e312af07e,RRZ484",Inconel,LFF,"2007-06-07"
c370e1b9-2f87-4e41-8885-71f6ba15d326,244e46b5-05cc-4ae6-a81c-e49e312af07e,RRZ485",Inconel,RFF,"2007-06-07"
87f171a3-735a-4c42-b8ee-83436a24c613,3c21de95-cfe2-4396-ac59-dce5e7b6b2c0,"094601550",PIT,RFF,"2007-06-20"
c2ac7f79-5a07-45a6-8a78-178faaf25184,9e80db68-1a05-4d0a-b6e6-1fecb9d14f8e,RRZ486",Inconel,LFF,"2007-07-23"
141513da-eb73-4e09-8cd9-83476906f3d1,9e80db68-1a05-4d0a-b6e6-1fecb9d14f8e,RRZ487",Inconel,RFF,"2007-07-23"
c9b1eb79-5791-46f2-abdb-7dada7828a82,9e80db68-1a05-4d0a-b6e6-1fecb9d14f8e,"094616632",PIT,RFF,"2007-07-23"
0fd55598-5203-4682-86bf-81d3e82406b5,6f9635ec-6a48-4877-8e39-7b3dd244dcbc,"4305047f5a",PIT,RFF,"2007-04-27"
02c56af8-a1ab-4dde-9b6b-27d318545638,6f9635ec-6a48-4877-8e39-7b3dd244dcbc,RRZ499",Inconel,RFF,"2007-04-27"
c6d33b07-0faa-48d3-9b1c-608becc841b6,6f9635ec-6a48-4877-8e39-7b3dd244dcbc,RRZ500",Inconel,LFF,"2007-04-27"
97fd9ae1-9d83-4f0f-8445-aa9b06cb9a6b,51b88d9d-8cfa-44f1-b8c8-180445a6c440,"094571324",PIT,RFF,"2007-09-16"
d8facfa2-3dc7-4f0f-adba-9efd4d78c470,595aab93-f261-4e53-b8b8-12c3b7a1d5e4,RRZ492",Monel,LFF,"2007-11-18"
4ca2b040-af06-453d-ae9a-985d091fe112,595aab93-f261-4e53-b8b8-12c3b7a1d5e4,RRZ493",Monel,RFF,"2007-11-18"
44868d6d-fa96-49ba-a7e3-b392d78d13b7,595aab93-f261-4e53-b8b8-12c3b7a1d5e4,"094574268",PIT,RFF,"2007-11-18"
ac8953de-0878-4ff1-8656-066bf29100eb,8ff49ab8-298e-4ef2-91ae-eb2e49531772,RRZ490",Inconel,LFF,"2007-11-11"
ac300e6d-b9dd-4238-bcfa-10a176302ec7,8ff49ab8-298e-4ef2-91ae-eb2e49531772,RRZ491",Inconel,RFF,"2007-11-11"
c759a76c-3259-41d2-8ecb-b5a7743ee9a1,8ff49ab8-298e-4ef2-91ae-eb2e49531772,"094785026",PIT,RFF,"2007-11-11"
9f589207-95cc-4ea5-9fff-6cc2ad24d972,8d1ca4d5-751a-4f43-b2ed-3be28416e25b,"094590631",PIT,RFF,"2007-11-24"
ffa55da1-a341-46eb-853d-fcaee83425d6,327a3136-edaa-484f-a10c-ae3d43156a4c,"094615368",PIT,RFF,"2007-11-28"
c58e4238-02be-4553-94e9-3eeaff52331d,76f79ca3-7ec9-42ac-b6a6-1b4b1df340c5,"094574280",PIT,RFF,"2007-12-07"
8a6a3a28-2c5d-43f2-a3a6-a648bcc9658f,7f8646f5-0956-408c-9e00-a568e3b8e729,"094593078",PIT,RFF,"2007-12-07"
4be0310a-901f-4914-b02f-d5db22673b5b,0c9d7100-3650-4345-81ff-b82ede34a090,"094605363",PIT,RFF,"2007-12-07"
f57a215b-dfed-4ab9-8e2d-0f95a38733dc,747464a8-a7ae-41bd-8fc0-b18f0fd0a5a6,"094621350",PIT,RFF,"2007-12-07"
c6ed702a-0f8a-4638-b5ab-2bad95b553ac,54583149-9c64-4b6a-abe0-0d101d94ba9f,"094572297",PIT,RFF,"2007-12-07"
27861f37-6e15-432a-8ac8-10e5f4754913,b6834822-0edc-4c6b-8a18-0512fdfb7ff1,"094606515",PIT,RFF,"2007-12-07"
0a48cfcf-3f90-4c92-a774-5d665d63aa5e,7c7fa2e4-4b79-4fb3-afb7-63bb03efbbb7,RRZ495",Inconel,RFF,"2007-12-09"
06b35585-de77-430b-9520-9cc04028cf42,7c7fa2e4-4b79-4fb3-afb7-63bb03efbbb7,RRZ494",Inconel,LFF,"2007-12-09"
710e4fdc-ed27-4df6-b003-55a0ad6c3724,7c7fa2e4-4b79-4fb3-afb7-63bb03efbbb7,"094565560",PIT,RFF,"2007-12-09"
13384918-6f15-4a47-b6ea-40426fecb997,2ef1b290-50a1-43db-9b07-a1300d71aa1b,"09597334",PIT,RFF,"2007-12-07"
01b7bba5-fc1f-4d09-88fa-6e731f0e3b73,3d42c5fe-1b82-45b9-90ce-b057de2688ec,"094570293",PIT,RFF,"2007-12-07"
e944a189-6ba2-4b41-9b13-bf22e491db55,5cd1e25a-8741-437b-853c-1958d3162c92,"094570564",PIT,RFF,"2007-12-07"
5a11646a-9e03-4a68-a88a-e954af111d13,1273a98d-5cfc-4eb6-a09c-9fa75f575d95,"094579817",PIT,RFF,"2007-12-07"
259eac8c-d6d0-481c-8bc0-8b4db3ae4a3a,dd377fc4-80ff-4adc-bcdf-8f36576e2969,"107544791",PIT,RFF,"2008-01-07"
c4cdf25a-0c95-4872-9f72-0dd741103fdd,df9092be-c16d-45ae-9f59-7b3e391cdf6d,"094820099",PIT,RFF,"2007-12-07"
b2f9f6df-b0b4-4c5c-b033-aa9888536689,630741ed-25e4-448c-b85b-86910bb4bc7b,"094768077",PIT,RFF,"2007-12-07"
24685be9-ef42-4531-ae59-07ee01b9747b,19e79adf-2209-4586-a8dd-22cca6401c04,"107365531",PIT,RFF,"2008-01-07"
